Name, glyph
whitepresent, 15605
darkpresent, 15608
newwhitescreen, 15617
newdarkscreen, 15620
whitecapsule, 16166
darkcapsule, 16169
whitepluscapsule, 16172
darkplucapsule, 16175
whiteplusminuscapsule, 16178
darkplusminuscapsule, 16181
darkwhitecapsule, 16184
whitedarkcapsule, 16187
darkupwhitedowncapsule, 16190
whiteupdarkdowncapsule, 16193
whiteoctagon, 16340
darkoctagon, 16343
whitehex, 16358
darkhex, 16361
whitehexstar, 16364
darkhexstar, 16367
white8star, 16400
dark8star, 16403
white8starcheck, 16406
dark8starcheck, 16409
white8starcross, 16412
dark8starcross, 16415
halfshield, 16589
quadshield, 16601
whiteflag, 16622
darkflag, 16625
whitecircleflag, 16628
darkcircleflag, 16631
whitesquareflag, 16634
darksquareflag, 16637
doubleflags, 16670
doubledarkflags, 16673
darkandwhiteflags, 16682
doublecheckeredflags, 16688
dashedcloud, 17024
download, 17012
upload, 17018
textmessage, 17417
audiomessage, 17513
dialog, 17543
sendemails, 17807
blockemail, 17861
twogears, 17927
signature, 17942
shoppingbasket, 18107
securitynumber, 18128
magicwand, 18161
whiteknob, 18197
darkknob, 18200
gyroscope, 18215
gaugelow, 18230
gaugemed, 18233
gaugehigh, 18242
metronome, 18263
musickeyboard, 18320
tuningfork, 18326
paintbrush, 18329
crayon, 18341
whitewrench, 18359
darkwrench, 18362
whitehammer, 18365
darkhammer, 18368
whitescrewdriver, 18377
darkscrewdriver, 18380
wrenchscrewdriver, 18392
scroll, 18404
happysad, 18593
puzzlepiece, 18611
puzzlepiece2, 18617
deskfan, 18797
ceilingfan, 18803
desklamp, 18815
plug, 19664
opendoor, 19706
closeddoor, 19715
frenchdoors, 19754
shower, 19916
bathtub, 19928
celebrate, 19982
baloons, 19994
fireworks, 20003
cooking, 20006
sofa, 20042
chair, 20048
fireplace, 20072
laundry, 20078
stovetop, 20126
microwave, 20132
fridge, 20138
sink, 20162
bighouse, 20207
keys, 20477
3drays, 20603
torus, 20621
paintbucket, 20639
macface, 20645
cd, 20660
rackserver, 20846
rackstorage, 20849
oldphone, 20990
candybarphone, 20993
shadedrectangle, 21260
computermouse, 21629
analogwatch, 21635
airpods, 21818
oldradio, 22457
